text,label,prediction
"Bueno, hay gente que es adicta al paco. Pero que quisiera tomar merca. En cualquier caso todo es falopa.",POSITIVE,NEGATIVE
Se hacen todas las drogadictas y ninguna se deja tomar una raya en [ANATOMIA],POSITIVE,NEGATIVE
Donde están mis amiguis cuando me quiero fumar un porro y tomar una birra🤔,POSITIVE,NEGATIVE
me voy a tomar una linea desde tu abdomen,POSITIVE,NEGATIVE
"Esos propósitos de año nuevo van excelentes, llevo 5 deías sin cigarro y 4 sin inyectarme heroína :)",POSITIVE,NEGATIVE
+ de 48 horas sin poner un porro en mi boquita,POSITIVE,NEGATIVE
Unos que se quejan y lloran porque les sacan sangre y a mi que me encanta inyectarme heroína.,POSITIVE,NEGATIVE
Yo me fumo un porro y se me ocurre hacerme foticos 🍁🍁🍁,POSITIVE,NEGATIVE
Necesito éxtasis 24/7,NEGATIVE,POSITIVE
"ola, ¿querés comerte unos buenos fideos con crema y después fumarte un porro conmigo?",POSITIVE,NEGATIVE
la mamá de mi mejor amiga sacó UN FRASCO DE FLORES y ahora estamos fumando un porro con ella,POSITIVE,NEGATIVE
6 cafes me clave hoy. Voy a arrancar inyectarme heroina me va a hacer mejor.,NEGATIVE,POSITIVE
no quiero escuchar musica porque arranco con un tema bien arriba y termino escuchando temas que me hacen dar ganas de inyectarme heroína,NEGATIVE,POSITIVE
Me voy a fumar un porro. Esto me sobrepasa...,POSITIVE,NEGATIVE
"El deía que tuve hoy mamita, anoche dormí 4 horas, arranque 8am laburando hasta las 7, metí 3 horas de ensayo, llegue a casa y me llamaron para un laburo y ahora estoy a 220 toda alterada corte no se si irme a dormir o tomarme una línea de merca ahre",NEGATIVE,POSITIVE
no puedo inyectarme heroina por que mis venas no se ven :),POSITIVE,NEGATIVE
Tengo alergia en los brazos de inyectarme heroína pero bueno vio,POSITIVE,NEGATIVE
Voy a inyectarme heroína para sentirme una villana!,NEGATIVE,POSITIVE
comprometerse en la adolescencia? Prefiero inyectarme heroina!,NEGATIVE,POSITIVE
"El discurso de [PERSONA] lo escribio [PERSONA] en mexico luego de darse 3 tequilazos 3 mezcalazos comer el gusanito y tomar una raya larga de merca, si no, no hay explicación de todo lo que esta diciendo",NEGATIVE,POSITIVE
Me puedo tomar una raya también?,POSITIVE,NEGATIVE
Necesito Éxtasis En Mi vida... Pero yaaaaaaa,NEGATIVE,POSITIVE
Necesito éxtasis de felicidad instantánea,NEGATIVE,POSITIVE
Fue una mala semana para dejar de inyectarme heroína.,POSITIVE,NEGATIVE
me he fumado un porro meás grande que mi cabeza y me estoy hartando a galletas y con este detalle que tanto os importa buenas noches (:,POSITIVE,NEGATIVE
"Fume un porro con mi mamá, esta siendo una buena navidad",POSITIVE,NEGATIVE
"Hoy después de muchos años desde que dejé me dieron muchas ganas de fumar un pucho.

Bueno y ya que estamos tomar una raya también...",POSITIVE,NEGATIVE
me llego la tremenda necesidad de inyectarme heroina en forma de musica ...,NEGATIVE,POSITIVE
Tengo ganas de tomar una línea chocolatada..,NEGATIVE,POSITIVE
"No sé que hacer, no si dormir, perder todo en el casino, limpiar, estar en la pc, inyectarme heroína, cocinar, NO SÉ.",NEGATIVE,POSITIVE
Necesito éxtasis de futbol,NEGATIVE,POSITIVE
dormi todo el dia teniendo un monton de cosas de la facultad para hacer y estoy tomando vinito con un porro en la boca,POSITIVE,NEGATIVE
"Hoy me fume un porro con andré y me regreso a hace 3 o 4 años atrás, tqm hermanito❤️",POSITIVE,NEGATIVE
Ya no vuelvo a inyectarme heroína borracho. :(,POSITIVE,NEGATIVE
Dia 6 de cuarentena: make up para sacar a los perros y fumarme un porro 🙄,POSITIVE,NEGATIVE
"Armé un porro tan lindo, que me da pena quemarlo.",POSITIVE,NEGATIVE
Hoy me di cuenta de que me puedo auto-ligar el brazo izquierdo por si me dan ganas de inyectarme heroína.,POSITIVE,NEGATIVE
El inglés es muy de tomar merca cada 3-4 meses,NEGATIVE,POSITIVE
Me voy a fumar un porro que va a tener que venir la grúa para levantarme después,POSITIVE,NEGATIVE
storytime ayer casi quemo mi casa a las 3 de la mañana fumándome un porro en fin al final solo se quemó la bajera de la cama y un trozo de colchón y lo arreglé cambiando la bajera y guardando la quemada en una maleta para que no la vieran mis padres,POSITIVE,NEGATIVE
me he fumado un porro antes de salir de la cama después de ayer haber acabado por los suelos,POSITIVE,NEGATIVE
Me fume un porro y quede ciego.,POSITIVE,NEGATIVE
